Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Genre
Seth Walker,Grab Ahold,31,0.571,0.0612,8,-11.701,1,0.0501,0.894,1.4e-06,0.112,0.377,170.27,243440,3,blues
Lonesome Sundown,My Home Is A Prison,16,0.245,0.531,9,-11.252,1,0.0424,0.394,1.53e-05,0.266,0.503,66.936,191467,4,blues
Rokia Traoré,Dounia,28,0.565,0.433,4,-12.36,0,0.0586,0.909,0.00278,0.125,0.61,88.867,380613,4,blues
Mamie Smith,Crazy Blues,39,0.436,0.178,5,-13.36,1,0.0448,0.996,0.912,0.259,0.464,111.858,202240,4,blues
Kid Bailey,Mississippi Bottom Blues,24,0.62,0.192,0,-16.345,1,0.0453,0.987,0.14,0.11,0.779,168.459,169744,4,blues
ZZ Top,Arrested for Driving While Blind,39,0.553,0.672,2,-10.917,0,0.0438,0.215,0.0127,0.103,0.582,137.414,186587,4,blues
John Campbell,Devil in My Closet,30,0.353,0.495,8,-11.503,1,0.0344,0.000119,0.0119,0.13,0.567,81.018,360600,4,blues
Ben Miller Band,Hurry Up And Wait,46,0.563,0.874,7,-6.501,1,0.0511,0.00356,0.528,0.288,0.499,122.995,183027,4,blues
Canned Heat,Let's Work Together,55,0.746,0.713,0,-11.996,1,0.0375,0.118,0.0,0.0684,0.871,118.964,193853,4,blues
Fantastic Negrito,Chocolate Samurai,46,0.739,0.669,5,-8.79,1,0.0386,0.0274,0.00464,0.123,0.547,128.26,295839,4,blues
John Lee Hooker,Boogie Chillen,54,0.679,0.367,4,-6.946,1,0.0534,0.857,0.0181,0.103,0.406,148.959,189640,4,blues
Tedeschi Trucks Band,Alabama - Live,39,0.424,0.746,9,-4.912,0,0.0368,0.366,0.000944,0.15,0.437,81.202,206672,4,blues
Dr. Feelgood,Going Back Home,31,0.386,0.764,9,-12.772,1,0.0355,0.0016,0.00258,0.295,0.706,171.713,240867,4,blues
Albert King,Crosscut Saw - Mono Mix,50,0.84,0.412,1,-14.23,1,0.056,0.0217,0.784,0.041,0.963,122.807,156398,4,blues
Joe Bonamassa,King Bee Shakedown,36,0.515,0.946,9,-4.996,1,0.0745,0.0188,0.00117,0.226,0.537,96.066,262027,4,blues
Vargas Blues Band,Blues latino,26,0.592,0.752,9,-7.309,0,0.0269,0.33,0.81,0.0545,0.379,100.038,332693,4,blues
Blodwyn Pig,It's Only Love - 2006 Remaster,29,0.44,0.757,3,-6.813,1,0.0591,0.289,0.000325,0.294,0.616,74.712,203573,4,blues
Brian Owens,A Change Is Gonna Come,41,0.619,0.405,10,-6.802,1,0.0273,0.391,5.97e-06,0.0736,0.562,128.958,276609,3,blues
Jimmy Rogers,Walking By Myself,47,0.621,0.519,11,-13.328,0,0.102,0.837,0.00246,0.162,0.775,117.005,167267,4,blues
T. Rex,Hot Love,55,0.565,0.543,11,-8.505,0,0.0376,0.0839,0.0521,0.0867,0.486,130.983,295480,4,blues
Albert Collins,T-Bone Shuffle,51,0.537,0.695,11,-9.88,1,0.0377,0.00393,0.188,0.084,0.77,131.307,295693,4,blues
Funkwrench Blues,Surfing,19,0.491,0.684,11,-6.978,0,0.0261,0.000103,0.77,0.277,0.715,94.653,165688,4,blues
Tony Spinner,Walkin' The Dawg,40,0.626,0.923,1,-4.448,1,0.0474,0.0132,0.000771,0.0331,0.845,87.377,224640,4,blues
The Temperance Movement,Love and Devotion,28,0.443,0.909,0,-3.995,1,0.031,0.0351,0.000229,0.349,0.623,90.272,203720,4,blues
The Black Keys,Lo/Hi,66,0.606,0.679,2,-7.445,1,0.0321,0.0151,0.000433,0.0962,0.707,122.016,177768,4,blues
Joe Bonamassa,Drive - Live,34,0.612,0.829,4,-10.027,0,0.0356,0.55,0.415,0.913,0.662,125.821,378973,4,blues
Joe Cocker,Feelin' Alright,62,0.535,0.824,5,-10.142,1,0.0391,0.625,0.0379,0.299,0.895,90.12,250840,4,blues
Fenton Robinson,You Don't Know What Love Is,35,0.626,0.582,6,-8.536,0,0.094,0.167,0.000222,0.304,0.911,84.727,237107,4,blues
Davell Crawford,Gather by the River,20,0.444,0.0636,10,-16.659,1,0.0367,0.982,0.00028,0.271,0.114,131.682,220000,4,blues
Keb' Mo',The Medicine Man [Feat. Old Crow Medicine Show],54,0.801,0.637,0,-6.406,1,0.0565,0.169,3.75e-05,0.0925,0.769,77.012,218360,4,blues
Muddy Waters,Mean Old Frisco Blues,37,0.686,0.757,11,-7.337,0,0.0267,0.707,0.000153,0.653,0.896,107.712,225200,4,blues
Koko Taylor,Voodoo Woman,39,0.661,0.525,5,-9.42,0,0.0382,0.369,5.76e-06,0.0943,0.964,91.601,228200,4,blues
Stevie Ray Vaughan,Pride and Joy,67,0.427,0.626,8,-11.821,1,0.0385,0.0274,0.00395,0.106,0.743,126.877,219587,4,blues
The Bones of J.R. Jones,The Drop,34,0.586,0.8,2,-6.358,1,0.0609,0.047,0.00187,0.186,0.661,88.287,196843,4,blues
John Henry Barbee,"That's All Right, Pt. 1",25,0.537,0.0765,9,-23.822,1,0.0528,0.697,9.46e-06,0.0789,0.362,183.332,220032,3,blues
Sister Rosetta Tharpe,Rock Daniel (VD129),29,0.523,0.462,10,-11.471,1,0.073,0.887,0.118,0.68,0.961,173.331,160731,4,blues
Papa Charlie Jackson,Ash Tray Blues,37,0.85,0.212,7,-16.888,1,0.0948,0.987,0.0298,0.114,0.781,121.146,178730,4,blues
Bob Corritore,Big Mama's Soul Food,18,0.421,0.9,9,-3.171,1,0.162,0.59,0.000485,0.315,0.755,130.294,249235,4,blues
Tyler Bryant & the Shakedown,Ride,37,0.482,0.845,1,-5.2,0,0.0328,0.0612,0.000719,0.357,0.698,175.774,206173,4,blues
James Cotton,Play With Your Poodle,38,0.515,0.43,7,-10.912,1,0.25,0.81,0.0069,0.126,0.624,165.888,219000,4,blues
Lazy Lester,I Made up My Mind,32,0.632,0.554,7,-10.513,1,0.0455,0.535,0.131,0.7,0.706,131.462,263059,4,blues
Sonny Boy Williamson I,Got The Bottle Up And Gone,35,0.612,0.117,9,-15.357,1,0.177,0.99,0.00031,0.0788,0.781,172.444,153260,4,blues
Jesse Roper,The Hurricane's Eye,40,0.357,0.658,9,-8.197,1,0.0621,0.0078,0.00274,0.132,0.227,164.221,215912,4,blues
Brownie McGhee,Diggin' My Potatoes,32,0.65,0.383,10,-13.074,1,0.0464,0.505,0.0,0.392,0.864,110.522,217227,4,blues
In Flames,Only for the Weak,63,0.418,0.835,0,-4.824,0,0.0449,2.33e-06,0.766,0.289,0.549,104.986,294867,4,metal
Dropdead Chaos,HUMANS,24,0.363,0.987,11,-3.849,0,0.236,8.36e-06,0.00251,0.246,0.202,200.015,290896,4,metal
Behemoth,Ov Fire and the Void,45,0.471,0.973,1,-4.35,1,0.0806,2.29e-05,0.621,0.0243,0.152,130.034,267320,4,metal
Gama Bomb,Ninja Untouchables/Untouchable Glory,32,0.469,0.995,11,-3.894,0,0.122,4.22e-05,0.577,0.263,0.298,155.019,166929,4,metal
Cryptosis,Prospect of Immortality,26,0.409,0.943,6,-6.833,1,0.0961,2.26e-05,0.73,0.216,0.167,134.997,381543,4,metal
Orden Ogan,In the Dawn of the AI,46,0.477,0.981,5,-2.916,0,0.0511,2.38e-05,0.0461,0.129,0.242,95.046,367223,4,metal
Parkway Drive,Vice Grip,59,0.48,0.988,11,-3.229,0,0.0838,3.17e-05,0.00432,0.389,0.252,124.041,263587,4,metal
Limp Bizkit,Take A Look Around,72,0.425,0.852,11,-5.607,1,0.046,0.0175,0.306,0.0935,0.512,101.968,321040,4,metal
Atreyu,Catastrophe,59,0.54,0.968,5,-3.167,1,0.0766,0.00429,1.2e-05,0.111,0.354,130.015,164867,4,metal
Corvus Corax,Hugin & Munin,42,0.43,0.757,2,-7.973,0,0.0514,0.303,0.732,0.158,0.288,132.019,311760,4,metal
Dress the Dead,Promises and Kisses,26,0.424,0.885,7,-5.997,0,0.0717,0.000915,0.000305,0.102,0.156,139.077,256664,4,metal
Satyr,Picayune,37,0.357,0.981,6,-3.452,0,0.231,0.000279,0.151,0.0986,0.202,112.493,231798,3,metal
Heilung,Krigsgaldr,54,0.624,0.597,0,-10.542,1,0.049,0.0992,0.778,0.108,0.084,119.964,538320,4,metal
Soil,Breaking Me Down,51,0.526,0.972,11,-4.149,1,0.153,0.000318,0.0,0.253,0.696,150.922,154293,4,metal
Diamond Head,It’s Electric,41,0.335,0.953,5,-3.997,0,0.166,0.000184,0.0345,0.347,0.584,171.106,198480,4,metal
Exodus,Blacklist,54,0.534,0.969,3,-3.378,1,0.0535,0.000359,0.564,0.269,0.598,75.005,376920,4,metal
Crossfaith,RedZone,47,0.405,0.943,6,-5.399,0,0.0929,7.95e-05,0.000672,0.159,0.521,175.008,227707,4,metal
Meshuggah,New Millennium Cyanide Christ,49,0.359,0.968,10,-5.168,0,0.121,0.000209,0.00309,0.148,0.154,152.511,335667,4,metal
White Zombie,More Human Than Human,61,0.673,0.911,1,-6.725,1,0.0707,0.000367,0.628,0.101,0.54,101.467,268760,4,metal
Corrosion Of Conformity,Vote with a Bullet,49,0.493,0.938,11,-6.526,1,0.105,4.7e-05,0.0339,0.0851,0.567,136.521,205507,4,metal
Mastodon,Orion,42,0.35,0.797,2,-7.091,1,0.0434,0.000154,0.801,0.0944,0.433,131.258,495591,4,metal
Wars,"High Art, Low Culture",39,0.46,0.949,9,-1.026,1,0.0751,0.00026,0.58,0.0421,0.255,142.917,158349,4,metal
Warish,Woven,35,0.346,0.948,2,-6.858,1,0.0687,0.00172,0.85,0.0675,0.282,96.15,204438,4,metal
Avenged Sevenfold,Wish You Were Here,56,0.572,0.567,7,-8.432,1,0.0298,0.00177,0.00793,0.0689,0.29,130.018,313919,4,metal
Five Finger Death Punch,When The Seasons Change,50,0.498,0.894,4,-6.628,0,0.0307,0.00142,0.0,0.0754,0.546,156.069,227309,4,metal
National Nightmare,Witch,32,0.493,0.937,9,-3.555,0,0.0884,0.0198,0.000216,0.103,0.435,155.179,290417,4,metal
3TEETH,PRESIDENT X,37,0.484,0.957,1,-5.411,1,0.108,8.33e-06,0.216,0.126,0.158,101.052,220587,4,metal
Rob Zombie,Dead City Radio And The New Gods Of Supertown,50,0.514,0.955,0,-3.865,1,0.0857,0.000434,4.41e-05,0.461,0.463,138.024,208013,4,metal
Leviathan,Fucking Your Ghost In Chains of Ice,36,0.0986,0.861,7,-6.351,1,0.0705,2.55e-06,0.934,0.672,0.137,158.397,340467,4,metal
Eradicate Me,Asymmetry,24,0.366,0.994,10,-2.364,1,0.166,0.00191,1.98e-05,0.356,0.111,160.094,193375,4,metal
Great White,Rollin' Stoned,48,0.547,0.922,9,-5.166,1,0.0605,0.00118,0.000406,0.0918,0.473,133.309,248639,4,metal
Abandoned In Destiny,Monsters,28,0.468,0.932,10,-4.85,0,0.0652,0.00026,0.0,0.508,0.422,137.964,239565,4,metal
Marilyn Manson,Deep Six,48,0.589,0.942,9,-4.058,0,0.109,0.0016,4.32e-06,0.218,0.301,133.034,302904,4,metal
Gwar,Saddam A GoGo,41,0.543,0.851,6,-8.604,1,0.088,0.00605,8.7e-05,0.498,0.486,122.155,150227,4,metal
Artillery,Khomaniac,32,0.21,0.955,0,-7.741,1,0.178,5.09e-06,0.0237,0.244,0.119,90.134,401947,4,metal
Icon of Sin,Virtual Empire,33,0.494,0.958,4,-7.765,0,0.0511,0.0361,0.000226,0.387,0.313,145.055,352943,4,metal
August Burns Red,Pangaea,57,0.195,0.991,11,-3.615,1,0.209,1.4e-05,0.0181,0.33,0.0853,96.541,270050,4,metal
Bloodbound,Rise of the Dragon Empire,49,0.417,0.891,9,-4.55,0,0.0497,0.00366,4.84e-05,0.232,0.478,74.99,276987,4,metal
Teramaze,Stone,25,0.38,0.658,1,-6.108,0,0.0294,0.00554,0.000619,0.152,0.207,95.066,315250,4,metal
Rage Against The Machine,Killing In The Name,79,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785,313573,4,metal
Vertilizar,Nobody's Favorite,26,0.426,0.961,6,-2.859,1,0.066,7.66e-06,0.18,0.118,0.344,95.0,236000,4,metal
The Hirsch Effekt,Torka,16,0.138,0.883,10,-6.656,0,0.0885,0.000273,0.283,0.159,0.116,171.903,381133,5,metal
Damageplan,Save Me,47,0.486,0.944,7,-3.924,1,0.0552,5.25e-05,0.00931,0.103,0.573,108.799,214040,4,metal
Wardruna,Skugge,47,0.226,0.653,0,-7.857,1,0.0427,0.101,0.179,0.434,0.105,100.011,398267,1,metal
blessthefall,Guys Like You Make Us Look Bad,51,0.173,0.926,2,-4.027,1,0.132,0.000713,0.043,0.291,0.0703,201.231,235640,4,metal
Parkway Drive,Sleepwalker,50,0.314,0.962,10,-4.81,0,0.191,0.000174,4.68e-05,0.093,0.298,144.125,241033,4,metal
Divitius,Lucid - Instrumental,35,0.39,0.984,5,-4.257,0,0.149,0.000719,0.566,0.153,0.0973,149.922,270400,4,metal
ERRA,House of Glass,51,0.509,0.993,6,-3.578,1,0.178,1.01e-05,0.415,0.829,0.457,130.014,260383,4,metal
Harakiri for the Sky,Us Against December Skies,46,0.165,0.946,10,-6.96,0,0.0684,1.71e-05,0.704,0.111,0.251,95.047,501093,3,metal
Tulip,Sidewinder,0,0.111,0.917,9,-3.383,0,0.067,4.36e-06,0.758,0.404,0.178,79.997,257125,3,metal
Raging Speedhorn,Thumper,39,0.277,0.821,5,-5.209,0,0.0462,7.66e-06,0.00155,0.11,0.334,103.008,156627,4,metal
Within Temptation,Entertain You,55,0.559,0.878,1,-4.341,0,0.0403,0.000471,2.19e-06,0.218,0.597,137.114,211045,4,metal
Hulkoff,Martialisk - Svitjod Edition,39,0.487,0.984,1,-4.79,1,0.161,0.000439,0.0234,0.354,0.291,120.031,225627,4,metal
Machine Head,Message in a Bottle,50,0.324,0.683,1,-9.914,0,0.0724,0.0174,0.00727,0.206,0.497,132.284,211973,4,metal
Rising Insane,Meant to Live,41,0.453,0.978,4,-5.468,0,0.0752,2.69e-05,0.000109,0.0698,0.308,141.979,233239,4,metal
Nightwish,How's the Heart?,55,0.543,0.643,2,-8.649,0,0.0278,0.00448,9.51e-06,0.111,0.272,104.006,302179,4,metal
Paradise Lost,Embers Fire,37,0.121,0.685,0,-9.661,1,0.0361,0.00103,0.0222,0.112,0.249,87.24,284360,4,metal
Make Them Suffer,Uncharted,42,0.493,0.907,0,-4.058,1,0.0716,0.000133,0.00438,0.131,0.258,120.047,292501,4,metal
Einar Selvik,Hrafnsmál - The Words of the Raven,46,0.558,0.428,1,-10.608,1,0.0284,0.065,0.00357,0.0931,0.164,110.022,320173,5,metal
Caspian,Wildblood,37,0.347,0.737,6,-6.135,0,0.0379,0.000969,0.767,0.112,0.0581,104.264,413401,4,metal
Die Krupps,Vision 2020 Vision,33,0.584,0.913,1,-3.83,1,0.041,0.0663,0.0918,0.144,0.613,100.019,263889,4,metal
Drown in Sulphur,Essence,33,0.454,0.9,0,-6.282,1,0.0866,0.000455,0.802,0.226,0.0799,120.005,241250,4,metal
Shining,The Last Stand,21,0.412,0.987,1,-2.974,0,0.127,1.67e-05,0.00661,0.204,0.239,134.965,257107,4,metal
Enterprise Earth,Foundation of Bones,32,0.425,0.937,1,-8.555,0,0.128,8.18e-05,0.44,0.0469,0.164,104.931,204000,3,metal
36 Crazyfists,Bloodwork,53,0.585,0.931,0,-4.843,1,0.0852,0.00119,2.46e-05,0.115,0.818,160.079,198600,4,metal
Helloween,Fear of the Fallen,0,0.458,0.965,4,-7.605,0,0.143,0.000227,8.62e-05,0.196,0.0709,135.048,338748,4,metal
Nachtblut,Meine Grausamkeit Kennt Keine Grenzen,21,0.574,0.989,2,-5.51,1,0.0552,0.000281,0.265,0.143,0.176,130.065,295673,4,metal
Memoremains,Lift Me Up,40,0.495,0.842,6,-5.843,0,0.0413,1.38e-05,0.000278,0.278,0.509,137.971,209045,4,metal
Karnivool,New Day,37,0.468,0.569,6,-7.134,0,0.0399,0.00549,0.0042,0.245,0.289,173.982,500760,3,metal
Mercyful Fate,Evil,50,0.282,0.905,0,-9.455,1,0.114,0.000278,0.375,0.0894,0.554,133.837,284960,4,metal
Underoath,Writing On The Walls,58,0.358,0.959,2,-3.139,0,0.0874,0.00364,0.000237,0.356,0.171,91.938,242413,4,metal
Ulver,I,40,0.149,0.908,9,-7.941,0,0.0862,1.71e-05,0.887,0.0713,0.147,143.237,471280,3,metal
Mister Misery,Ballad of the Headless Horseman,36,0.301,0.822,1,-6.918,1,0.0579,8.8e-06,0.00951,0.115,0.254,175.085,276000,4,metal
Resist The Thought,Bringer of Misery,39,0.472,0.911,7,-2.992,1,0.0523,3.93e-05,0.0188,0.124,0.224,100.04,317700,4,metal
Architects,These Colours Don't Run,47,0.233,0.967,8,-4.377,0,0.269,0.000483,0.0332,0.108,0.0603,120.738,241387,4,metal
Coheed and Cambria,Jessie's Girl 2 (feat. Rick Springfield),45,0.479,0.929,2,-4.155,1,0.0716,0.0109,0.0,0.0819,0.674,155.185,231578,4,metal
Devin Townsend,Genesis,41,0.536,0.841,9,-9.336,1,0.0912,0.00112,0.0233,0.645,0.216,128.04,365861,4,metal
Powerwolf,Beast of Gévaudan,17,0.463,0.962,1,-5.697,0,0.0712,0.000761,0.0,0.239,0.188,109.899,211893,4,metal
Silverstein,Bankrupt,57,0.428,0.922,0,-4.029,1,0.0891,0.000329,0.00257,0.149,0.296,82.907,200800,4,metal
Enslaved,Storm Son,35,0.2,0.968,1,-6.191,1,0.14,0.000734,0.548,0.0593,0.174,164.978,654427,1,metal
Kadinja,The Modern Rage,31,0.515,0.973,11,-4.272,0,0.167,2.11e-05,0.000888,0.233,0.134,129.965,246720,4,metal
Bodom After Midnight,Paint the Sky with Blood,47,0.414,0.987,0,-5.112,0,0.125,1.29e-05,0.176,0.0543,0.125,96.052,266054,4,metal
Seas on the Moon,Door to Life (2017),23,0.508,0.958,11,-4.543,1,0.0515,5.14e-06,0.742,0.509,0.317,115.002,264000,3,metal
Slipknot,Left Behind,62,0.229,0.994,6,-3.431,1,0.22,7.03e-05,0.00548,0.318,0.115,156.623,241467,4,metal
Marduk,Christraping Black Metal,36,0.195,0.983,3,-4.597,1,0.0773,1.68e-06,0.308,0.355,0.0378,93.087,225800,4,metal
In Flames,Cloud Connected,58,0.48,0.908,0,-5.466,0,0.0452,5.45e-06,0.856,0.0932,0.313,95.084,220707,4,metal
Buffalo Fuzz,Perfect Man,38,0.459,0.58,4,-9.7,1,0.0353,0.00872,0.0203,0.124,0.185,128.789,325313,4,metal
Spirit Adrift,Supernaut,32,0.425,0.925,7,-6.246,1,0.105,2.22e-05,0.0723,0.0973,0.313,118.066,282978,4,metal
Like Moths To Flames,Habitual Decline,49,0.472,0.986,6,-3.797,1,0.119,0.000113,0.000851,0.29,0.398,116.993,191548,4,metal
Abbath,Harvest Pyre,36,0.287,0.962,6,-4.235,1,0.0605,3.7e-06,0.887,0.34,0.255,173.094,252067,4,metal
Sleep,Dragonaut,53,0.352,0.65,5,-13.169,1,0.0415,0.00254,0.286,0.174,0.464,123.607,343160,4,metal
Cradle Of Filth,From the Cradle to Enslave,46,0.342,0.926,7,-6.313,0,0.0939,3.96e-05,0.683,0.186,0.0972,147.313,396829,4,metal
LEACH,Serenade (For the Broken Brave),0,0.326,0.998,1,-1.382,1,0.102,0.00234,0.0,0.417,0.139,174.91,255747,4,metal
Megadeth,No More Mr. Nice Guy,39,0.449,0.797,9,-9.724,1,0.0831,0.0053,0.268,0.0422,0.731,144.491,183360,4,metal
